symbol,date,open,high,low,close,volume
AAPL,2024-03-22 14:50:00,172.88,172.9,172.831,172.85,90998
AAPL,2024-03-22 14:49:00,172.825,172.89,172.82,172.88,83539
AAPL,2024-03-22 14:48:00,172.837,172.85,172.78,172.823,80999
AAPL,2024-03-22 14:47:00,172.825,172.85,172.82,172.83,45453
AAPL,2024-03-22 14:46:00,172.845,172.86,172.82,172.83,69706
AAPL,2024-03-22 14:45:00,172.795,172.84,172.76,172.84,62985
AAPL,2024-03-22 14:44:00,172.75,172.8,172.71,172.8,54880
AAPL,2024-03-22 14:43:00,172.85,172.86,172.705,172.75,129108
AAPL,2024-03-22 14:42:00,172.81,172.86,172.8,172.845,55247
AAPL,2024-03-22 14:41:00,172.801,172.826,172.764,172.81,77731
AAPL,2024-03-22 14:40:00,172.84,172.845,172.74,172.79,121245
AAPL,2024-03-22 14:39:00,172.895,172.9,172.83,172.845,72473
AAPL,2024-03-22 14:38:00,172.835,172.92,172.83,172.9,114991
AAPL,2024-03-22 14:37:00,172.79,172.85,172.78,172.835,61082
AAPL,2024-03-22 14:36:00,172.846,172.88,172.78,172.795,68703
AAPL,2024-03-22 14:35:00,172.912,172.92,172.78,172.845,119002
AAPL,2024-03-22 14:34:00,172.745,172.935,172.74,172.915,424181
AAPL,2024-03-22 14:33:00,172.67,172.76,172.639,172.75,136726
AAPL,2024-03-22 14:32:00,172.675,172.68,172.64,172.665,110124
AAPL,2024-03-22 14:31:00,172.65,172.68,172.63,172.68,110938
AAPL,2024-03-22 14:30:00,172.628,172.65,172.62,172.65,67055
AAPL,2024-03-22 14:29:00,172.631,172.631,172.615,172.62,55422
AAPL,2024-03-22 14:28:00,172.56,172.65,172.56,172.63,110506
AAPL,2024-03-22 14:27:00,172.532,172.57,172.525,172.56,72444
AAPL,2024-03-22 14:26:00,172.495,172.55,172.48,172.535,71255
AAPL,2024-03-22 14:25:00,172.465,172.5,172.45,172.49,52632
AAPL,2024-03-22 14:24:00,172.42,172.5,172.41,172.47,61258
AAPL,2024-03-22 14:23:00,172.425,172.447,172.37,172.42,103355
AAPL,2024-03-22 14:22:00,172.485,172.485,172.37,172.429,125745
AAPL,2024-03-22 14:21:00,172.46,172.495,172.44,172.48,59041
AAPL,2024-03-22 14:20:00,172.459,172.51,172.42,172.465,65510
AAPL,2024-03-22 14:19:00,172.615,172.615,172.45,172.45,153211
AAPL,2024-03-22 14:18:00,172.635,172.64,172.61,172.615,59569
AAPL,2024-03-22 14:17:00,172.635,172.65,172.61,172.635,61648
AAPL,2024-03-22 14:16:00,172.625,172.68,172.61,172.63,83883
AAPL,2024-03-22 14:15:00,172.608,172.64,172.6,172.63,82384
AAPL,2024-03-22 14:14:00,172.64,172.65,172.6,172.605,56162
AAPL,2024-03-22 14:13:00,172.641,172.65,172.59,172.64,51206
AAPL,2024-03-22 14:12:00,172.67,172.68,172.64,172.646,46169
AAPL,2024-03-22 14:11:00,172.645,172.68,172.625,172.68,92640
AAPL,2024-03-22 14:10:00,172.635,172.67,172.63,172.647,69772
AAPL,2024-03-22 14:09:00,172.665,172.67,172.61,172.63,50694
AAPL,2024-03-22 14:08:00,172.68,172.68,172.63,172.67,60263
AAPL,2024-03-22 14:07:00,172.668,172.685,172.632,172.676,78031
AAPL,2024-03-22 14:06:00,172.543,172.665,172.53,172.66,90773
AAPL,2024-03-22 14:05:00,172.58,172.6,172.54,172.549,48914
AAPL,2024-03-22 14:04:00,172.59,172.601,172.562,172.575,44485
AAPL,2024-03-22 14:03:00,172.594,172.64,172.58,172.59,52983
AAPL,2024-03-22 14:02:00,172.585,172.63,172.57,172.59,51228
AAPL,2024-03-22 14:01:00,172.56,172.61,172.54,172.585,47368
AAPL,2024-03-22 14:00:00,172.66,172.665,172.54,172.56,61376
AAPL,2024-03-22 13:59:00,172.629,172.68,172.62,172.665,117477
AAPL,2024-03-22 13:58:00,172.574,172.67,172.573,172.625,52125
AAPL,2024-03-22 13:57:00,172.565,172.58,172.54,172.58,51141
