,hash,ver,bits,fee,nonce,size,block_index,main_chain,height,weight
44,00000000000000000003bb891469c5c357b44a3b4dd10f6b315b4434b1555f87,637591552,386216622,19799325,794013958,1652448,806938,True,806938,3993354
45,000000000000000000006463e4abd3c627e14cb17433d3e839265394fe856973,536879104,386216622,16176319,1740282973,2074548,806937,True,806937,3997410
46,00000000000000000003c586bf5ecb1ed95703e665707a84dde161a4860d22ff,541204480,386216622,15599248,3825613600,1812407,806936,True,806936,3993128
47,000000000000000000015b7d33e55baabc7134e9ca771b611aaf252d27d74634,543137792,386216622,17667955,1635172983,2038184,806935,True,806935,3993410
48,00000000000000000004df3eff838da8cf0922b6fe4c965f98fc9b5d760c3c28,538050560,386216622,17059817,2944357167,1825553,806934,True,806934,3993500
49,00000000000000000001b1ef755daf77965bbdb0407be7ee517ddce213d18e28,536870912,386216622,23998635,3766968623,1532853,806933,True,806933,3993660
50,00000000000000000004dc1abedb499a41e68d5ddcccd41caf44f257f4829a3c,659562496,386216622,31999980,1279016821,1467887,806932,True,806932,3993557
51,000000000000000000052ec43ef7143b11f6b539ec9c80df1ae668da7a56a462,536928256,386216622,23635408,2113225567,1342227,806931,True,806931,3993072
52,00000000000000000001a81a4bab25c33f2a372bcffb19e80e9052c384c279f2,872759296,386216622,16864658,2601764100,2056628,806930,True,806930,3993053
53,00000000000000000004f81173128fbc9241c90a6e9d044c559bebc64f1fbe7f,627310592,386216622,15722546,2823268985,2039540,806929,True,806929,3992627
54,0000000000000000000256295836a36e6fb8ed51d61d7b7a70981a1d64a64917,536952832,386216622,19449702,3527727628,1695044,806928,True,806928,3992648
55,000000000000000000037caf2a27a07744701046f9059f563165105e32c8fc5a,797073408,386216622,17182390,712945225,1761592,806927,True,806927,3993520
56,000000000000000000017d51ff8edec19bec05ef8e87c69c6e827ff86cbee504,791683072,386216622,18155581,2175503476,1917497,806926,True,806926,3992657
57,00000000000000000004c60f1e37d649f110fef4010102c5b6c6aa5dc1f47d91,566116352,386216622,18398251,39058002,1861973,806925,True,806925,3992909
58,00000000000000000000723a5fe18065918ed8bbd89d2f942dfcd600e9f0c512,536993792,386216622,20115227,2089941307,1703201,806924,True,806924,3997514
59,00000000000000000003742a886ac7a6c3eee36e56c97d8bcc7e1570305821ab,536928256,386216622,31803207,573743498,1461032,806923,True,806923,3992984
60,0000000000000000000008116297320bc5a664b4b6aee6a59590e77c0ea682ef,798433280,386216622,16838153,610064754,1877863,806922,True,806922,3992629
61,000000000000000000046c29795f998174a70a7106634e31981696fa570e9ea3,742170624,386216622,27344174,1172250660,1572174,806921,True,806921,3993006
62,000000000000000000004d82cbba1f4e2b46d7966bbdfc2cd731b36726cd8112,554500096,386216622,25254443,496465152,1571998,806920,True,806920,3997642
63,00000000000000000001f5f36c4ad3d9f6d51d264df87b17618d986e2125b299,538968064,386216622,15460242,841165409,2136880,806919,True,806919,3993355
64,00000000000000000003fe20fbdc1548e23936555ed30244635faf6123a81c8f,872349696,386216622,15625853,729914683,1324261,806918,True,806918,3993166
65,00000000000000000001edc7de4439b79b3c5c5983f4be76aabf9fe59096ec9a,536952832,386216622,18375984,3047146988,1867573,806917,True,806917,3992926
66,000000000000000000030f0d6b3857a714e79593863096e6f476341dc510b05e,536977408,386216622,17842846,2274876521,1703446,806916,True,806916,3993511
67,000000000000000000027ba5bfaa39a3ee615d1874362ce7c5f614f5c653af71,616103936,386216622,19599904,3801034769,1421627,806915,True,806915,3993476
68,00000000000000000000c2025c0e199070969b36c91f28554d42005c17b827a5,543162368,386216622,18576035,1057863537,1756087,806914,True,806914,3993430
